S.N,Region,Zone,Woreda,ADM3_PCODE,Population,Reporting_period,1_EBS_PPV_Num,1_EBS_PPV_Denom,2_EBS_DETECT_Num,2_EBS_DETECT_Denom,3_DETECT_7D_Num,3_DETECT_7D_Denom,4_RPT_TIMELY_Num,4_RPT_TIMELY_Denom,5_RPT_COMPLETE_Num,5_RPT_COMPLETE_Denom,6_CB_ELIM_Num,6_CB_ELIM_Denom,7_CB_EVENTS_Num,7_CB_EVENTS_Denom,8_NOTIFY_24H_Num,8_NOTIFY_24H_Denom,9_NOTIFY_30M_Num,9_NOTIFY_30M_Denom,10_LINEGRAPH_Num,10_LINEGRAPH_Denom,11_OBR_ANALYZED_Num,11_OBR_ANALYZED_Denom,12_LAB_7D_Num,12_LAB_7D_Denom,13_RESP_2448_Num,13_RESP_2448_Denom,14_ATTACK_RATE_Num,14_ATTACK_RATE_Denom,15_CFR_Num,15_CFR_Denom,16_EPI_DETECT_REG_Num,16_EPI_DETECT_REG_Denom,17_EPRP_PLAN_Num,17_EPRP_PLAN_Denom,18_RISK_MAP_Num,18_RISK_MAP_Denom,19_EPR_FUNDS_Num,19_EPR_FUNDS_Denom,20_CONTINGENCY_Num,20_CONTINGENCY_Denom,21_PHEM_OFFICER_Num,21_PHEM_OFFICER_Denom,22_DHIS2_RPT_Num,22_DHIS2_RPT_Denom,23_COORD_PLATFORM_Num,23_COORD_PLATFORM_Denom
33,Southern Ethiopi,Gedeo,Wenago,ET070501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Southern Ethiopi,Gedeo,Yirgachefe,ET070502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Southern Ethiopi,Gedeo,Yirgachefe town,ET070512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Southern Ethiopi,Gofa,Bulike town,ET071508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Southern Ethiopi,Gofa,Denba Gofa,ET071502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Southern Ethiopi,Gofa,Gezei Gofa,ET071505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Southern Ethiopi,Gofa,Melekoza,ET071501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Southern Ethiopi,Gofa,Melo Gada,ET071509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Southern Ethiopi,Gofa,O'yida,ET071506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Southern Ethiopi,Gofa,Sawla town,ET071507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Southern Ethiopi,Gofa,Uba Debre Tsehay,ET071504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Southern Ethiopi,Gofa,Zala,ET071503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Southern Ethiopi,Konso,Karat Zuria,ET071303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Southern Ethiopi,Konso,Karat town,ET071301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Southern Ethiopi,Konso,Kena,ET071304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Southern Ethiopi,Konso,Segen Zuria,ET071302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Southern Ethiopi,South Omo,Bena Tsemay,ET070705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Southern Ethiopi,South Omo,Boko Dawula,ET070710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Southern Ethiopi,South Omo,Dasenech /Kuraz,ET070706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Southern Ethiopi,South Omo,Hamer,ET070704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Southern Ethiopi,South Omo,Jinka town,ET070709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Southern Ethiopi,South Omo,Malie,ET070707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Southern Ethiopi,South Omo,North Ari,ET070703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Southern Ethiopi,South Omo,Nyngatom,ET070708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Southern Ethiopi,South Omo,Salamago,ET070701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Southern Ethiopi,South Omo,South Ari,ET070702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Southern Ethiopi,South Omo,Wub Ari,ET070711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Southern Ethiopi,Wolayita,Abela Abaya,ET070621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Southern Ethiopi,Wolayita,Areka town,ET070614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Southern Ethiopi,Wolayita,Bayera Koisha,ET070622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Southern Ethiopi,Wolayita,Boditi town,ET070615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Southern Ethiopi,Wolayita,Boloso Bombe,ET070608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Southern Ethiopi,Wolayita,Boloso Sore,ET070601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Southern Ethiopi,Wolayita,Damot Gale,ET070602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Southern Ethiopi,Wolayita,Damot Pullasa,ET070611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Southern Ethiopi,Wolayita,Damot Sore,ET070609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Southern Ethiopi,Wolayita,Damot Woide,ET070603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Southern Ethiopi,Wolayita,Duguna Fango,ET070612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Southern Ethiopi,Wolayita,Gesuba town,ET070617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Southern Ethiopi,Wolayita,Gununo Hamus town,ET070618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Southern Ethiopi,Wolayita,Hobicha Abaya,ET070619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Southern Ethiopi,Wolayita,Humbo,ET070604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Southern Ethiopi,Wolayita,Kawo Koisha,ET070620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Southern Ethiopi,Wolayita,Kindo Daddaye,ET070610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Southern Ethiopi,Wolayita,Kindo Koyesha,ET070606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Southern Ethiopi,Wolayita,Ofa,ET070607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Southern Ethiopi,Wolayita,Sodo Town,ET070613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Southern Ethiopi,Wolayita,Sodo Zuria,ET070605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Southern Ethiopi,Wolayita,Tebela town,ET070616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
