region,zone,woreda,adm3_pcode,adm3_en,adm1_en,adm2_en,score,method,needs_review
Addis Ababa,Kirkos,11,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,2,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,3,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,4,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,5,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,6,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,7,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,8,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkos,9,ET140106,Kirkos,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kirkose,11,ET140106,Kirkos,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolfe Keraniyo,10,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,1,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,10,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,2,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,3,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,4,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,5,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,6,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,7,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,8,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Kolife keranyo,9,ET140103,Kolfe Keraniyo,Addis Ababa,Region 14,0.857,addis_subcity,FALSE
Addis Ababa,Lemi kura,10,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,13,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,14,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,2,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
