region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
Addis Ababa,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,120,120,0,0,0,100,NA,NA
Addis Ababa,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,119,119,0,0,0,100,NA,NA
Afar,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,40,40,2,0,2,100,0,0
Afar,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,40,40,6,3,6,100,50,50
Afar,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,40,40,0,0,0,100,NA,NA
Amhara,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,221,18,0,0,0,8.1,NA,NA
Amhara,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,221,0,0,0,0,0,NA,NA
Amhara,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,221,0,0,0,0,0,NA,NA
Benishangul Gumuz,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,23,23,9,9,9,100,100,100
Benishangul Gumuz,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,23,23,1,1,1,100,100,100
Benishangul Gumuz,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,23,23,4,4,4,100,100,100
Central Ethiopia,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,82,82,82,97,97,100,100,100
Dire Dawa,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,18,18,18,0,18,100,0,0
Dire Dawa,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,18,18,0,0,0,100,NA,NA
Dire Dawa,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,18,18,0,0,0,100,NA,NA
Gambella,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,14,14,9,1,9,100,11.11111111111111,11.11111111111111
Gambella,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,14,14,0,0,0,100,NA,NA
Gambella,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,14,14,0,0,0,100,NA,NA
Harari,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,9,9,3,3,4,100,75,75
Harari,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,9,9,1,0,1,100,0,0
Harari,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,1,1,0,0,0,100,NA,NA
Oromia,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,444,444,0,0,0,100,NA,NA
Oromia,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,430,430,0,0,0,100,NA,NA
Oromia,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,8,8,0,0,0,100,NA,NA
Sidama,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,38,38,0,0,0,100,NA,NA
Sidama,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,38,38,0,0,0,100,NA,NA
Sidama,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,38,38,0,0,0,100,NA,NA
Somali,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,118,118,0,0,0,100,NA,NA
Somali,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,118,118,0,0,0,100,NA,NA
Somali,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,118,118,0,0,0,100,NA,NA
South Ethiopia,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,96,96,96,3,96,100,3.125,3.125
South Ethiopia,2025-Wk16-27,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,96,96,1,0,1,100,0,0
South Ethiopia,2025-Wk28-52,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,96,96,3,1,5,100,20,20
Tigray,2025-Wk03-15,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,84,81,4,0,4,96.4,0,0
Addis Ababa,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,11,11,0,0,0,100,NA,NA
Addis Ababa,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,120,120,0,0,0,100,NA,NA
Addis Ababa,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,119,119,0,0,0,100,NA,NA
Afar,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,40,40,2,2,2,100,100,100
Afar,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,40,40,6,6,6,100,100,100
Afar,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,40,40,0,0,0,100,NA,NA
Amhara,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,221,18,18,1193,1193,8.1,100,100
Amhara,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,221,0,0,0,0,0,NA,NA
Amhara,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,221,0,0,0,0,0,NA,NA
Benishangul Gumuz,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,23,23,9,7,9,100,77.77777777777777,77.77777777777777
Benishangul Gumuz,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,23,23,1,1,1,100,100,100
Benishangul Gumuz,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,23,23,4,4,4,100,100,100
Central Ethiopia,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,82,82,82,97,97,100,100,100
Dire Dawa,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,18,18,18,18,18,100,100,100
Dire Dawa,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,18,18,0,0,0,100,NA,NA
Dire Dawa,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,18,18,9,15,15,100,100,100
Gambella,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,14,9,9,9,9,64.3,100,100
Gambella,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,14,14,0,0,0,100,NA,NA
Gambella,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,14,14,0,0,0,100,NA,NA
Harari,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,9,9,3,3,4,100,75,75
Harari,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,9,9,1,1,1,100,100,100
Harari,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,1,1,0,0,0,100,NA,NA
Oromia,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,444,48,37,35,43,10.8,81.3953488372093,81.3953488372093
Oromia,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,430,30,29,26,29,7,89.65517241379311,89.65517241379311
Oromia,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,8,8,8,7,8,100,87.5,87.5
Sidama,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,38,38,6,6,6,100,100,100
Sidama,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,38,38,1,1,1,100,100,100
Sidama,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,38,38,3,3,3,100,100,100
Somali,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,118,118,0,0,0,100,NA,NA
Somali,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,118,118,0,0,0,100,NA,NA
Somali,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,118,118,0,0,0,100,NA,NA
South Ethiopia,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,96,96,6,5,6,100,83.33333333333333,83.33333333333333
South Ethiopia,2025-Wk16-27,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,96,96,7,5,7,100,71.42857142857143,71.42857142857143
South Ethiopia,2025-Wk28-52,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,96,96,9,8,10,100,80,80
Tigray,2025-Wk03-15,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,84,4,4,2,4,4.8,50,50
Addis Ababa,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,11,11,11,120,120,100,100,100
Addis Ababa,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,120,120,110,110,110,100,100,100
Addis Ababa,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,119,119,109,109,109,100,100,100
Afar,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,40,40,40,485,520,100,93.26923076923077,93.26923076923077
Afar,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,40,40,40,457,520,100,87.88461538461539,87.88461538461539
Afar,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,40,40,40,850,1000,100,85,85
Amhara,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,221,221,212,4596.692307692308,5040,100,91.20421245421245,91.20421245421245
Amhara,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,221,221,200,4139.833333333333,4770,100,86.78895877009084,86.78895877009084
Amhara,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,221,221,213,4521.333333333333,4949,100,91.35852360746279,91.35852360746279
Benishangul Gumuz,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,23,23,23,299,299,100,100,100
Benishangul Gumuz,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,23,23,23,270,299,100,90.3010033444816,90.3010033444816
Benishangul Gumuz,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,23,23,23,536,575,100,93.21739130434783,93.21739130434783
Central Ethiopia,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,82,82,82,82,82,100,100,100
Dire Dawa,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,18,18,18,102,105,100,97.14285714285714,97.14285714285714
Dire Dawa,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,18,18,18,100,105,100,95.23809523809524,95.23809523809524
Dire Dawa,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,18,18,18,18,18,100,100,100
Gambella,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,14,14,14,142,182,100,78.02197802197803,78.02197802197803
Gambella,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,14,14,14,129,182,100,70.87912087912088,70.87912087912088
Gambella,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,14,14,14,293,350,100,83.71428571428571,83.71428571428571
