adm3_pcode,adm3_en,ref_region,population_best
ET030207,Semada,Amhara,198586
ET030208,East Esite,Amhara,281125
ET030209,Dera (AM),Amhara,323370
ET030210,Debre Tabor town,Amhara,123706.3516277116
ET030211,Andabet/ West Esite,Amhara,157407
ET030212,Guna Begemider,Amhara,120334
ET030213,Mena Meketewa,Amhara,58468
ET030214,Sede Muja,Amhara,93927
ET030293,Woreta town,Amhara,79075
ET030301,Bugna,Amhara,102758
ET030302,Raya Kobo,Amhara,259296
ET030303,Gidan,Amhara,159078
ET030304,Meket,Amhara,227191
ET030305,Wadla,Amhara,141283
ET030307,Guba Lafto,Amhara,193401.56286121177
ET030308,Habru,Amhara,253970.822149437
ET030309,Woldiya town,Amhara,128147.73223843248
ET030310,Lasta,Amhara,153605
ET030311,Dawunt,Amhara,87408
ET030312,Gazo,Amhara,87114
ET030313,Angot,Amhara,46824
ET030398,Lalibela town,Amhara,1500000
ET030399,Kobo town,Amhara,58850
ET030402,Tenta,Amhara,212127
ET030403,Kutaber,Amhara,119245
ET030404,Ambasel,Amhara,155630
ET030405,Thehulederie,Amhara,154415
ET030406,Delanta,Amhara,145904
ET030407,Kalu,Amhara,248913
ET030408,Albuko,Amhara,98985
ET030409,Dessie Zuria,Amhara,194280
ET030410,Legambo,Amhara,218735
ET030411,Sayint,Amhara,188491
ET030412,Borena /Debresina,Amhara,200283
ET030413,Kelela,Amhara,179799
ET030414,Jama,Amhara,161188
ET030415,Were Ilu,Amhara,236356
ET030416,Wegde,Amhara,235983
ET030417,Kombolcha town,Amhara,192346
ET030418,Dessie town,Amhara,308683.8635886748
ET030419,Mehal Sayint,Amhara,92062
ET030420,Legehida,Amhara,85536
ET030421,Mekdela,Amhara,248831
ET030422,Worebabu,Amhara,132647
ET030501,Mida Woremo,Amhara,124779
ET030502,Merhabete,Amhara,163032
ET030503,Ensaro,Amhara,80627
ET030504,Moretna Jiru,Amhara,124120
ET030505,Menze Gera Midir,Amhara,135705
ET030506,Gishe Rabel,Amhara,79940
ET030507,Antsokiya,Amhara,69176
ET030508,Eferatana Gidem,Amhara,194513
ET030509,Menze Mama Midir,Amhara,113354
ET030510,Tarema Ber,Amhara,120649
ET030511,Mojan Wedera,Amhara,91098
ET030512,Kewet,Amhara,95451
ET030513,Angolelana Tera,Amhara,77699
ET030514,Assagirt,Amhara,60581
ET030515,Ankober,Amhara,102000.89409531424
ET030516,Hagere Mariam,Amhara,126205
ET030517,Berehet,Amhara,47988
ET030518,Minjar Shenkora,Amhara,182873
ET030519,Basona Worena,Amhara,101121.20814323626
ET030520,Debre Berhan town,Amhara,227503
ET030521,Menze Keya Gabriel,Amhara,64097
ET030522,Menze Lalo Midir,Amhara,42835
ET030523,Siya Debirna Wayu,Amhara,132811
ET030595,Shoa Robit,Amhara,68950
ET030601,Bibugn,Amhara,104891
ET030602,Hulet Ej Enese,Amhara,162829
ET030603,Goncha Siso Enebse,Amhara,227663
ET030604,Enebse Sarmder,Amhara,182587
ET030605,Enarj Enawga,Amhara,234499
ET030606,Enemay,Amhara,221085
ET030607,Debay Telatgen,Amhara,161362
ET030608,Debre Elias,Amhara,114989
ET030609,Michakel,Amhara,156026
ET030610,Guzamn,Amhara,147467
ET030611,Baso Liben,Amhara,185029
ET030612,Awabel,Amhara,163802
ET030613,Dejen,Amhara,138368
ET030614,Shebel Bernta,Amhara,145597
ET030615,Debre Markos town,Amhara,207988
ET030616,Senan,Amhara,131298
ET030617,Aneded,Amhara,100427
ET030619,Sedae,Amhara,116459
ET030694,Mota Town,Amhara,66268
ET030701,Semen Achefer,Amhara,279302.4484995882
ET030702,Bahirdar Zuria,Amhara,244398.01469581484
ET030703,Yilmana Densa,Amhara,309205
ET030704,Mecha,Amhara,337093.14448316
ET030705,Sekela,Amhara,182604
ET030706,Quarit,Amhara,151576
ET030707,Dega Damot,Amhara,194819
ET030708,Dembecha,Amhara,185803
ET030709,Jabi Tehnan,Amhara,254465
ET030710,Bure (AM),Amhara,143231
ET030711,Wemberma,Amhara,144132
ET030712,Bahir Dar town,Amhara,439121.2573572334
ET030713,Debub Achefer,Amhara,180246
ET030714,Finote Selam town,Amhara,58194
ET030715,Debub Mecha,Amhara,94244
ET030718,Gonje,Amhara,138853
ET030798,Bure town,Amhara,70653
ET030801,Zequala,Amhara,63722
ET030802,Sekota,Amhara,108332
ET030803,Dehana,Amhara,151297
ET030804,Gaz Gibla,Amhara,92978
ET030805,Abergele (AM),Amhara,80451
ET030806,Sahila,Amhara,40096
ET030807,Sekota town,Amhara,47045
ET030808,Tsagbeji,Amhara,43206
ET030901,Dangila,Amhara,146758
ET030902,Banja,Amhara,89492
ET030903,Ankasha,Amhara,118257
ET030904,Guangua,Amhara,154398
ET030905,Fagta Lakoma,Amhara,179475
ET030906,Jawi,Amhara,157270.99999999997
ET030907,Guagusa Shikudad,Amhara,119093
ET030908,Ayehu Guwagusa,Amhara,145276
ET030996,Injibara town,Amhara,68657
ET030997,Zigem,Amhara,118622
ET030998,Dangila town,Amhara,68313
ET030999,Chagni town,Amhara,54397
ET031001,Dewa Cheffa,Amhara,173504
ET031002,Bati,Amhara,103902
ET031003,Jilye Tumuga,Amhara,102045
ET031004,Artuma Fursi,Amhara,107960
ET031005,Dewa Harewa,Amhara,55769
ET031006,Kemisie town,Amhara,49223
ET031099,Bati Town,Amhara,43148
ET031106,Chilga 1,Amhara,187463
ET031107,Tegede,Amhara,103321.50711497253
ET031108,Lay Armacho,Amhara,158425.95289677917
ET031109,Wegera,Amhara,267976.05604876566
ET031110,Gonder Zuria,Amhara,264369
ET031111,East Dembia,Amhara,228886
ET031112,Chilga 2,Amhara,69103
ET031115,Alefa,Amhara,251325.682524514
ET031116,West Belesa,Amhara,181036
ET031117,East Belesa,Amhara,161920
ET031118,Gondar town,Amhara,496470.6499498833
ET031119,Masero Denb /Central Armacho,Amhara,53249
ET031120,Tach Armacho,Amhara,130349.9999991381
ET031121,Takusa,Amhara,179522.194124808
ET031122,Kinfaz Begela,Amhara,157359.97198166046
ET031125,West Dembiya,Amhara,143836
ET031205,Adagn Ager Chaqo,Amhara,53349
ET031206,Mirab Armacho,Amhara,56745
ET031213,Metema,Amhara,292919
ET031214,Quara,Amhara,161365
ET031292,Gendawuha town,Amhara,28180
ET040101,Mana Sibu,Oromia,164956.12747831957
ET040102,Nejo,Oromia,117694.56438860542
ET040103,Gimbi,Oromia,114741.71933665591
ET040104,Lalo Asabi,Oromia,117089.23650037528
ET040105,Kiltu Kara,Oromia,79786.45371221189
ET040106,Boji Dirmeji,Oromia,66673.5947688525
ET040107,Ayira,Oromia,77432.7734339907
ET040109,Gudetu Kondole,Oromia,146610.2006325601
ET040110,Boji Chekorsa,Oromia,74413.62038015027
ET040111,Babo,Oromia,92606.611028
ET040112,Yubdo,Oromia,59452.610082532854
ET040113,Gaji,Oromia,91430.13852465857
ET040114,Haru,Oromia,103118.568295516
ET040115,Nole Kaba,Oromia,91907.1685564408
ET040116,Begi,Oromia,183352.32006744793
ET040117,Homa,Oromia,37822.29817536921
ET040118,Sayo Nole,Oromia,175864.8632732797
