adm3_pcode,adm3_en,ref_region,population_best
ET042105,Seweyna,Oromia,100701.53467820131
ET042106,Dawe Ketchen,Oromia,112339
ET042107,Ginir town,Oromia,30146.612214542834
ET050101,Ayisha,Somali,90243.51615163585
ET050102,Dembel,Somali,127012.94521864805
ET050103,Shinile,Somali,73434.27091681157
ET050104,Erer (SM),Somali,75872.93409206247
ET050105,Afdem,Somali,100531.7862871974
ET050106,Hadhagala,Somali,86176
ET050107,Miesso,Somali,152386
ET050198,Gota-Biki,Somali,45861.11580836568
ET050199,Gablalu,Somali,20601.26605345327
ET050202,Gursum (SM),Somali,44167.03
ET050203,Babile (SM),Somali,119749.99533803698
ET050204,Shabeeley,Somali,113843.33987954863
ET050205,Aw-Bare,Somali,409648.5434007384
ET050206,Kebribeyah,Somali,143519.6667172717
ET050207,Harshin,Somali,124214.37270318725
ET050283,Tuliguled,Somali,77192.58983098115
ET050290,Goljano,Somali,65917.65677217199
ET050293,Jigjiga town,Somali,182922.4744953837
ET050295,Wajale town,Somali,32731.32030035451
ET050296,Kebribayah town,Somali,20315.877473877354
ET050297,Koran /Mulla,Somali,25570.98
ET050298,Haroreys,Somali,47408
ET050299,Harawo,Somali,36991.57032693989
ET050301,Degehamedo,Somali,90773.00498742367
ET050302,Degehabur,Somali,31771.472094656354
ET050303,Aware,Somali,28898.960423412034
ET050304,Gashamo,Somali,119600.38270631911
ET050305,Gunagado,Somali,174279.3428563489
ET050306,Bilcil-Bur,Somali,31348.111527943947
ET050307,Degahabur town,Somali,46491.94397346089
ET050382,Yocale,Somali,46322.19070275012
ET050392,Daror,Somali,47544.20972985477
ET050394,Burqod,Somali,43852.91571428346
ET050395,Ararso,Somali,47819.29183721138
ET050399,Dig,Somali,37240.39071972385
ET050402,Fik,Somali,87581.71700107583
ET050403,Salahad,Somali,37927.017249910714
ET050404,Hamero,Somali,70687.83806591017
ET050407,Lagahida,Somali,27895.02842717835
ET050497,Qubi,Somali,53453.58884266346
ET050498,Yahob,Somali,21965.447147525676
ET050499,Wangey,Somali,18412.892215045358
ET050501,Shaygosh,Somali,52462.96414020905
ET050502,Kebridehar,Somali,86580.30372288052
ET050503,Shilabo,Somali,89403.73011102775
ET050504,Debeweyin,Somali,85864.47667771461
ET050586,Marsin,Somali,23362.549534086036
ET050592,Kebridehar town,Somali,45305.71629861454
ET050595,Goglo,Somali,24859.650668547296
ET050596,Lasdhankayre,Somali,21255.972801169235
ET050597,Higloley,Somali,22745.915665178836
ET050598,El-Ogaden,Somali,21747.84824220466
ET050599,Bodaley,Somali,23314.48686105347
ET050601,East Imi,Somali,90066.38143283846
ET050602,Adadle,Somali,128845.800299669
ET050603,Danan,Somali,19820.228270579337
ET050604,Gode,Somali,14138.606752091111
ET050605,Kelafo,Somali,119732.29940464254
ET050606,Mustahil,Somali,72984.70291505098
ET050607,Ferfer,Somali,60934.26591471525
ET050608,Berocano,Somali,79597.92220231939
ET050696,Godey town,Somali,66414.4332504925
ET050699,Aba-Korow,Somali,29068
ET050701,Danod,Somali,20045.279364670365
ET050702,Bokh,Somali,133072.88158062258
ET050703,Galadi,Somali,151506.6865023705
ET050704,Warder,Somali,28786.435510836345
ET050788,Daratole,Somali,38315.27597848163
ET050798,Lehel-Yucub,Somali,29312.130747894957
ET050799,Galhamur,Somali,41603.97081427677
ET050802,Charati,Somali,142018.0017473123
ET050804,Elkare /Serer,Somali,89713.02496541831
ET050805,West Imi,Somali,74898.87089697547
ET050806,Hargele,Somali,122542.18509646878
ET050807,Barey,Somali,121435.96777213739
ET050808,Dolobay,Somali,130212.57750228564
ET050809,Raso,Somali,48982.82872048457
ET050898,Kohle /Qoxle,Somali,22291.098016336397
ET050899,God-God,Somali,24498.41881438416
ET050901,Filtu,Somali,14532.483829696266
ET050902,Dolo Ado,Somali,126106.70029722176
ET050903,Goro Baqaqsa,Somali,79818.15292122978
ET050904,Guradamole,Somali,44194.2832603077
ET050991,Deka Suftu,Somali,135332
ET050999,Bokolmayo,Somali,38945.47553980406
ET051001,Ayun,Somali,24909.329065481812
ET051002,Elwayne,Somali,36985.18815202157
ET051003,Garbo,Somali,70766.26286717603
ET051005,Sagag,Somali,57001.07240624603
ET051006,Dihun,Somali,21444.746619080128
ET051095,Horshagah,Somali,18956.429549076995
ET051103,Moyale (SM),Somali,277851.9527051583
ET051104,Hudet,Somali,67415.59155945231
ET051187,Mubarek,Somali,78325.33381305223
ET051198,Qada Duma,Somali,34206.367259875326
ET060201,Dangur,Benishangul Gumz,78586.53837263995
ET060202,Guba,Benishangul Gumz,24136.414097364886
ET060203,Wembera,Benishangul Gumz,97147.16777251032
ET060204,Mandura,Benishangul Gumz,55015.709210532696
ET060205,Dibate,Benishangul Gumz,107920.99623070296
ET060206,Pawe,Benishangul Gumz,73754.94437943179
ET060207,Bulen,Benishangul Gumz,73706.7002923953
ET060301,Menge,Benishangul Gumz,42335.72607943002
ET060302,Kurmuk,Benishangul Gumz,27093.673985708352
ET060303,Assosa,Benishangul Gumz,39287
ET060304,Sherkole,Benishangul Gumz,39957.39523552449
ET060305,Bambasi,Benishangul Gumz,78842.12938693968
ET060306,Bilidigilu,Benishangul Gumz,90686.64
ET060307,Homosha,Benishangul Gumz,35204.83942746124
ET060308,Undulu,Benishangul Gumz,22817.400228388367
ET060309,Assosa town Administration,Benishangul Gumz,39287
ET060400,Kamashi town,Benishangul Gumz,14352.102658388869
ET060402,Sedal,Benishangul Gumz,29137.37563016925
ET060403,Kamashi,Benishangul Gumz,14602.561323003865
ET060405,Mizyiga,Benishangul Gumz,48806
ET060508,Maokomo Special,Benishangul Gumz,81055.19857099678
ET070101,Kebena,Central Ethiopia,76920.37801422477
ET070102,Abeshege,Central Ethiopia,90204.6062461022
ET070103,Ezha,Central Ethiopia,125595.56686993367
ET070104,Gedebano Gutazer Welene,Central Ethiopia,137628.08970610227
ET070105,Sodo,Central Ethiopia,126051.40864816718
ET070106,Meskan,Central Ethiopia,142295.95201794337
ET070107,Mareko,Central Ethiopia,96422.7556312363
ET070108,Endiguagn,Central Ethiopia,72398.08755230905
ET070109,Gumer,Central Ethiopia,118460.42108709436
ET070110,Cheha,Central Ethiopia,140562.90320605788
ET070111,Enemor Ener,Central Ethiopia,138842.605213144
ET070112,Muhur Na Aklil,Central Ethiopia,129049.97624298066
ET070113,Geta,Central Ethiopia,101998.05122655391
ET070114,Welkite town,Central Ethiopia,49455.113949469735
ET070115,Butajira town,Central Ethiopia,57235.23865862078
ET070116,Emdebir town,Central Ethiopia,31916.362454079503
ET070117,Bui town,Central Ethiopia,29654.15465487402
ET070118,Misrak Meskan,Central Ethiopia,89264.23334694913
ET070119,Debub Sodo,Central Ethiopia,57904.65665462805
ET070120,Enor Ener,Central Ethiopia,84990.58385497896
ET070201,Misha,Central Ethiopia,112342.66056729031
ET070202,Gombora,Central Ethiopia,136782.30297020046
ET070203,Lemmo,Central Ethiopia,174661.70524634977
ET070204,Shashogo,Central Ethiopia,141829.6204229754
ET070205,Misrak Badawacho,Central Ethiopia,144462.60363670028
ET070206,Soro,Central Ethiopia,195820.59130495624
ET070207,Duna,Central Ethiopia,175324.80423963943
ET070208,Analemmo,Central Ethiopia,77760.36222233628
ET070209,Mirab Badowach,Central Ethiopia,123100.39446612982
ET070210,Gibe,Central Ethiopia,129937.7726835326
ET070211,Hosaena town,Central Ethiopia,119921.81053989848
ET070212,Shone Town,Central Ethiopia,55321.25576528306
ET070213,Gimbichu town,Central Ethiopia,16162.654814867721
ET070214,Jajura town,Central Ethiopia,18781.333890062484
ET070215,Ameka,Central Ethiopia,84029.66179525672
ET070216,Siraro Badawacho,Central Ethiopia,55386.646112849376
ET070217,Mirab Soro,Central Ethiopia,56092.65752172943
ET070301,Tembaro,Central Ethiopia,131263
ET070302,Angacha,Central Ethiopia,109311.20492308318
ET070303,Kediada Gambela,Central Ethiopia,77109.5239192153
ET070304,Kacha Bira,Central Ethiopia,144547.40674370035
ET070305,Hadero Tunto,Central Ethiopia,122509.83788967153
ET070306,Doyogena,Central Ethiopia,93623.65185225196
ET070307,Damboya,Central Ethiopia,101403.05976428198
ET070308,Durame town,Central Ethiopia,54573.35366499333
ET070309,Adilo,Central Ethiopia,42658.0062693939
ET070310,Shinshincho town,Central Ethiopia,26284.876273297108
ET070312,Hadero town,Central Ethiopia,27097.146996972428
ET070501,Wenago,Southern Ethiopi,16198.415161193048
ET070502,Yirgachefe,Southern Ethiopi,259392.7833083223
ET070503,Kochere,Southern Ethiopi,131969.51699737727
ET070504,Bule,Southern Ethiopi,81251.05308797139
ET070505,Dila Zuria,Southern Ethiopi,144562.72921437223
ET070506,Gedeb,Southern Ethiopi,122815.06575859687
ET070507,Dila town,Southern Ethiopi,101342.37276030838
ET070508,Chelelektu town,Southern Ethiopi,30133.71898924671
ET070509,Rape,Southern Ethiopi,90482.66973284351
ET070510,Churso,Southern Ethiopi,122762.37
ET070511,Gedeb town,Southern Ethiopi,21829.176437243754
ET070512,Yirgachefe town,Southern Ethiopi,25901.56499140618
ET070601,Boloso Sore,Southern Ethiopi,214688.77175038023
ET070602,Damot Gale,Southern Ethiopi,146842.1992536057
ET070603,Damot Woide,Southern Ethiopi,119465.099831115
ET070604,Humbo,Southern Ethiopi,72469.87441454912
ET070605,Sodo Zuria,Southern Ethiopi,113256.08198485726
ET070606,Kindo Koyesha,Southern Ethiopi,83166.3048625452
ET070607,Ofa,Southern Ethiopi,103067.44845468084
ET070608,Boloso Bombe,Southern Ethiopi,121496.28750239365
ET070609,Damot Sore,Southern Ethiopi,77585.63007737864
ET070610,Kindo Daddaye,Southern Ethiopi,99891.92970099168
ET070611,Damot Pullasa,Southern Ethiopi,146718.57062773814
ET070612,Duguna Fango,Southern Ethiopi,134074.73389128275
ET070613,Sodo Town,Southern Ethiopi,260135.06330896902
ET070614,Areka town,Southern Ethiopi,71211.11022389756
ET070615,Boditi town,Southern Ethiopi,73254.5585853449
ET070616,Tebela town,Southern Ethiopi,43609.23148164764
ET070617,Gesuba town,Southern Ethiopi,28803.426378780954
ET070618,Gununo Hamus town,Southern Ethiopi,66160.72759858046
ET070619,Hobicha Abaya,Southern Ethiopi,52811.90117742573
ET070620,Kawo Koisha,Southern Ethiopi,73808.33309129713
ET070621,Abela Abaya,Southern Ethiopi,53752.909147872226
ET070622,Bayera Koisha,Southern Ethiopi,59120.02626921366
ET070701,Salamago,Southern Ethiopi,41214.31000203136
ET070702,South Ari,Southern Ethiopi,170963.0637121301
ET070703,North Ari,Southern Ethiopi,88457.81439451309
ET070704,Hamer,Southern Ethiopi,76552.6842407209
ET070705,Bena Tsemay,Southern Ethiopi,78312.09327992707
ET070706,Dasenech /Kuraz,Southern Ethiopi,77981.05464537258
ET070707,Malie,Southern Ethiopi,124598.24211507071
ET070708,Nyngatom,Southern Ethiopi,25904.794878067903
ET070709,Jinka town,Southern Ethiopi,34723.29628189389
ET070710,Boko Dawula,Southern Ethiopi,49623.100009387155
ET070711,Wub Ari,Southern Ethiopi,61483.27429922751
ET071003,Selamber town,Southern Ethiopi,29751.91093365603
ET071004,Boreda,Southern Ethiopi,100507.26797512823
ET071005,Mirab Abaya,Southern Ethiopi,76364.23968323147
ET071006,Chencha Zuriya,Southern Ethiopi,91438.2479816013
ET071007,Ezo /Kogota,Southern Ethiopi,42416.66187716482
ET071008,Dita,Southern Ethiopi,124064.40602509801
ET071009,Daramalo,Southern Ethiopi,119776.94314590865
ET071010,Chencha,Southern Ethiopi,33554.84269192585
ET071011,Kemba,Southern Ethiopi,149486.35134965947
ET071012,Kemba town,Southern Ethiopi,25093.6117360436
ET071013,Gerese,Southern Ethiopi,133564.39055688254
ET071014,Bonke,Southern Ethiopi,65553.02290107291
ET071015,Arba Minch Zuria,Southern Ethiopi,134753.84259626144
ET071016,Gacho Baba,Southern Ethiopi,106936.8684415408
ET071017,Kucha Alpha,Southern Ethiopi,61740.528028574416
ET071018,Garda Marta,Southern Ethiopi,55279.0505147329
ET071019,Kucha,Southern Ethiopi,129036.16285576146
ET071021,Arba Minch town,Southern Ethiopi,128290.2399459248
ET071205,Alle Special,Southern Ethiopi,92298.47558985336
ET071301,Karat town,Southern Ethiopi,42515.98660827331
ET071302,Segen Zuria,Southern Ethiopi,51069.86144929187
ET071303,Karat Zuria,Southern Ethiopi,137574.13921026132
ET071304,Kena,Southern Ethiopi,82437.81552168923
ET071401,Kulito town,Central Ethiopia,71768.97162657269
ET071402,Wera,Central Ethiopia,109037.38284264924
ET071403,Atote Ulo,Central Ethiopia,86228.41223217404
ET071404,Wera Djo,Central Ethiopia,103692.74365328372
ET071501,Melekoza,Southern Ethiopi,21745.35573834185
ET071502,Denba Gofa,Southern Ethiopi,107226.8875944069
ET071503,Zala,Southern Ethiopi,109736.24218226422
ET071504,Uba Debre Tsehay,Southern Ethiopi,14831.348207384779
ET071505,Gezei Gofa,Southern Ethiopi,88623.33371179033
ET071506,O'yida,Southern Ethiopi,48917.0886005071
ET071507,Sawla town,Southern Ethiopi,50860.40799224352
ET071508,Bulike town,Southern Ethiopi,13600.875559297458
ET071509,Melo Gada,Southern Ethiopi,34963.40146436395
ET071601,Basketo SP Woreda,Southern Ethiopi,49977.63830009827
ET072001,Alicho Woriro,Central Ethiopia,136005.79259285048
ET072002,Siltie,Central Ethiopia,125128.5169648663
ET072003,Lanfero,Central Ethiopia,86805.68639428292
ET072004,Mierab Azenet Berbere,Central Ethiopia,88300.46887068165
ET072005,Dalocha,Central Ethiopia,93420.32874028795
ET072006,Sankura,Central Ethiopia,41519.80553206774
ET072007,Misrak Azenet Berbere,Central Ethiopia,79068.16917366258
ET072008,Wulbareg,Central Ethiopia,94223.40394633675
ET072009,Tora town,Central Ethiopia,34351.388680110475
ET072010,Worabe town,Central Ethiopia,32766.694475808064
ET072011,Kibet town,Central Ethiopia,42347.40211845391
ET072012,Mito,Central Ethiopia,57105.18618482658
ET072013,Misrak Siltie,Central Ethiopia,125128.5169648663
ET072203,Burji Special,Southern Ethiopi,85848.61
ET072304,Derashe Special,Southern Ethiopi,110434.07979769849
ET072401,Yem SP Woreda,Central Ethiopia,119391
ET120101,Akobo,Gambela,43979.318917683224
ET120102,Lare,Gambela,57471.751788253176
ET120103,Jikawo,Gambela,33374
ET120104,Wantawo,Gambela,37379.019995147115
ET120105,Makuey,Gambela,28429.778254600755
ET120201,Abobo,Gambela,29535.679403855454
ET120203,Gog,Gambela,29987.694556130205
ET120204,Jore,Gambela,15797.490722339928
ET120205,Dima (GM),Gambela,14252.73991068264
ET120206,Gambela town,Gambela,69510.49515211432
ET120301,Godere,Gambela,69099.0735936118
ET120308,Mengesh,Gambela,36478.281063065646
ET120407,Itang,Gambela,62937.62433347838
ET130101,Sofi,Harari,51324.0876536849
ET130102,Shenkor,Harari,23793
ET130103,Jinela,Harari,28538.410712103425
ET130104,Hakim,Harari,30143.10044772637
ET130106,Dire Teyara,Harari,43116.663457158626
ET130107,Amir Nur,Harari,31188.612585221697
ET130108,Aboker,Harari,22640.265395454593
ET130109,Abadir,Harari,33071.8198984561
ET140101,Akaki Kality,Addis Ababa,269226.10247751395
ET140102,Nifas Silk Lafto,Addis Ababa,462891.13814495166
ET140103,Kolfe Keraniyo,Addis Ababa,628996.4120829459
ET140104,Bole,Addis Ababa,230595.30669131433
ET140105,Lideta,Addis Ababa,296142.6324248373
ET140106,Kirkos,Addis Ababa,324605.9054634942
ET140107,Yeka,Addis Ababa,370905.742420937
ET140108,Addis Ketema,Addis Ababa,359910.8959545385
ET140109,Arada,Addis Ababa,311589.79567007924
ET140110,Gulele,Addis Ababa,392747.9390320361
ET140111,Lemi Kura,Addis Ababa,359910.8959545385
ET150103,Sabian,Dire Dawa,81219.75332974964
ET160001,Shebe Dino,Sidama,209063.490426058
ET160002,Hawassa Zuria,Sidama,182791.49050339212
ET160003,Arbegona,Sidama,159427.73987449112
ET160004,Dale,Sidama,113401.65600811817
ET160005,Aleta Wendo,Sidama,208099.7410254571
ET160006,Dara,Sidama,129953.15925346663
ET160007,Hulla,Sidama,105604.40785901208
ET160008,Bensa,Sidama,210220.6272477277
ET160009,Aroresa,Sidama,113038.13531943556
ET160010,Boricha,Sidama,135273.43846935293
ET160011,Gorche,Sidama,137079.8044903249
ET160012,Malga,Sidama,162218.04409276898
ET160013,Wonosho,Sidama,132171.80175451929
ET160014,Chire,Sidama,131792.46489011517
ET160015,Bursa,Sidama,56377.74608278291
ET160016,Aleta Chuko,Sidama,55525.5663481832
ET160017,Bona Zuria,Sidama,165402.5611309178
ET160018,Hawasa town,Sidama,264168.217179932
ET160019,Wondo-Genet,Sidama,22143.92228062113
ET160020,Yirgalem town,Sidama,88410.99104410179
ET160021,Aleta Wondo town,Sidama,59868.28277624934
ET160022,Leku town,Sidama,41996.94741935075
ET160023,Hawela,Sidama,113899.87816826395
ET160024,Bura,Sidama,56377.74608278291
ET160025,Dara Otilicho,Sidama,116613.67747271243
ET160026,Teticha,Sidama,82680.56048463011
ET160027,Chirone,Sidama,51683.319564751044
ET160028,Shafamo,Sidama,73757.11234102855
ET160029,Chabe Gambeltu,Sidama,88050.78040815503
ET160030,Daye town,Sidama,44395.16395425295
ET160031,Hokko,Sidama,105428.0215299054
ET160032,Bilate Zuria,Sidama,152855.755262896
ET160033,Darara,Sidama,121766.07090547307
ET160034,Daella,Sidama,49927.95681966534
ET160036,Wondo-Genet town,Sidama,22143.92228062113
ET160037,Loka Abaya,Sidama,116789.00123357149
