adm3_pcode,adm3_en,ref_region,ref_zone,indicator,group,label,value_type,period,num_sum,denom_sum,n_records,value_pct,value_pct_capped
ET010105,Asgede,Tigray,North Western,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,2025-Wk03-15,3,4,1,75,75
ET010106,Tselemti,Tigray,North Western,ATTACK_RATE,Response,Attack rate per outbreak (per population at risk),rate,2025-Wk03-15,0,0,1,NA,NA
ET010106,Tselemti,Tigray,North Western,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,2025-Wk03-15,0,1,3,0,0
ET010106,Tselemti,Tigray,North Western,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,CB_ELIM,Reporting,Case-based reporting: elimination/eradication diseases,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,CB_EVENTS,Reporting,Case-based reporting: selected events/conditions,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,2025-Wk03-15,0,80,3,0,0
ET010106,Tselemti,Tigray,North Western,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,2025-Wk16-27,0,105,2,0,0
ET010106,Tselemti,Tigray,North Western,CFR,Response,Case-fatality rate per epidemic-prone disease,rate,2025-Wk28-52,0,41,2,0,0
ET010106,Tselemti,Tigray,North Western,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,DETECT_7D,Identifying,Outbreaks detected within 7 days,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EBS_DETECT,Identifying,Outbreaks detected through event-based surveillance,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EBS_PPV,Identifying,Confirmed outbreaks among suspected events (EBS sensitivity),proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EPI_DETECT_REG,Analysis,Epidemics detected at regional level from district data,proportion,2025-Wk03-15,0,0,1,NA,NA
ET010106,Tselemti,Tigray,North Western,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EPRP_PLAN,Preparedness,Districts with EPRP (preparedness & response) plans,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,LAB_7D,Laboratory,Outbreaks with laboratory results within 7 days,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,2025-Wk16-27,0,0,2,NA,NA
