region,indicator,label,value_pct,target,gap,status,pct_reported
Afar,CB_EVENTS,Case-based reporting: selected events/conditions,75.67567567567568,80,-4.3,below target,100
Amhara,CB_EVENTS,Case-based reporting: selected events/conditions,NA,80,NA,NA,0
Benishangul Gumuz,CB_EVENTS,Case-based reporting: selected events/conditions,71.06598984771574,80,-8.9,below target,100
Dire Dawa,CB_EVENTS,Case-based reporting: selected events/conditions,100,80,20,meets target,100
Gambella,CB_EVENTS,Case-based reporting: selected events/conditions,NA,80,NA,NA,100
Harari,CB_EVENTS,Case-based reporting: selected events/conditions,6.341463414634147,80,-73.7,below target,100
Oromia,CB_EVENTS,Case-based reporting: selected events/conditions,8.474576271186441,80,-71.5,below target,100
Sidama,CB_EVENTS,Case-based reporting: selected events/conditions,62.295081967213115,80,-17.7,below target,100
Somali,CB_EVENTS,Case-based reporting: selected events/conditions,100,80,20,meets target,100
South Ethiopia,CB_EVENTS,Case-based reporting: selected events/conditions,56.507936507936506,80,-23.5,below target,100
Addis Ababa,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,80,NA,NA,100
Afar,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,80,NA,NA,100
Amhara,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,80,NA,NA,0
Benishangul Gumuz,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,80,20,meets target,100
Dire Dawa,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,80,20,meets target,100
Gambella,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,80,NA,NA,100
Harari,NOTIFY_24H,Suspected outbreaks notified within 24 hours,0,80,-80,below target,100
Oromia,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,80,NA,NA,0
Sidama,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,80,20,meets target,100
Somali,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,80,NA,NA,100
South Ethiopia,NOTIFY_24H,Suspected outbreaks notified within 24 hours,3.0303030303030303,80,-77,below target,100
Addis Ababa,NOTIFY_30M,Immediately reportable events notified within 30 minutes,0,80,-80,below target,100
Afar,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,80,NA,NA,100
Amhara,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,80,NA,NA,0
Benishangul Gumuz,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,80,20,meets target,100
Dire Dawa,NOTIFY_30M,Immediately reportable events notified within 30 minutes,100,80,20,meets target,100
Gambella,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,80,NA,NA,100
Harari,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,80,NA,NA,100
Oromia,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,80,NA,NA,0
Sidama,NOTIFY_30M,Immediately reportable events notified within 30 minutes,75,80,-5,below target,100
Somali,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,80,NA,NA,100
South Ethiopia,NOTIFY_30M,Immediately reportable events notified within 30 minutes,27.272727272727273,80,-52.7,below target,100
Addis Ababa,LINEGRAPH,Current line graph available for priority diseases,100,80,20,meets target,100
Afar,LINEGRAPH,Current line graph available for priority diseases,45,80,-35,below target,100
Amhara,LINEGRAPH,Current line graph available for priority diseases,NA,80,NA,NA,0
Benishangul Gumuz,LINEGRAPH,Current line graph available for priority diseases,0,80,-80,below target,100
Dire Dawa,LINEGRAPH,Current line graph available for priority diseases,NA,80,NA,NA,0
Gambella,LINEGRAPH,Current line graph available for priority diseases,0,80,-80,below target,100
Harari,LINEGRAPH,Current line graph available for priority diseases,100,80,20,meets target,100
Oromia,LINEGRAPH,Current line graph available for priority diseases,NA,80,NA,NA,100
Sidama,LINEGRAPH,Current line graph available for priority diseases,39.473684210526315,80,-40.5,below target,100
Somali,LINEGRAPH,Current line graph available for priority diseases,50.84745762711864,80,-29.2,below target,100
South Ethiopia,LINEGRAPH,Current line graph available for priority diseases,37.5,80,-42.5,below target,100
Addis Ababa,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0,80,-80,below target,100
Afar,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0,80,-80,below target,100
Amhara,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,80,NA,NA,0
Benishangul Gumuz,OBR_ANALYZED,Outbreak reports with analyzed case-based data,17.391304347826086,80,-62.6,below target,100
Dire Dawa,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,80,NA,NA,100
Gambella,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0,80,-80,below target,100
Harari,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0,80,-80,below target,100
Oromia,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,80,NA,NA,100
Sidama,OBR_ANALYZED,Outbreak reports with analyzed case-based data,10.526315789473683,80,-69.5,below target,100
Somali,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0,80,-80,below target,100
South Ethiopia,OBR_ANALYZED,Outbreak reports with analyzed case-based data,10.416666666666666,80,-69.6,below target,100
Addis Ababa,LAB_7D,Outbreaks with laboratory results within 7 days,97.22222222222224,80,17.2,meets target,100
Afar,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,100
Amhara,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,0
Benishangul Gumuz,LAB_7D,Outbreaks with laboratory results within 7 days,100,80,20,meets target,100
Dire Dawa,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,0
Gambella,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,100
Harari,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,100
Oromia,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,0
Sidama,LAB_7D,Outbreaks with laboratory results within 7 days,100,80,20,meets target,100
Somali,LAB_7D,Outbreaks with laboratory results within 7 days,NA,80,NA,NA,100
South Ethiopia,LAB_7D,Outbreaks with laboratory results within 7 days,0,80,-80,below target,100
Addis Ababa,RESP_2448,Confirmed outbreaks with response within 24-48 hours,2.7777777777777777,80,-77.2,below target,100
Afar,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,100
Amhara,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,0
Benishangul Gumuz,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,80,20,meets target,100
Dire Dawa,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,100
