period,region,indicator,label,value_pct,pct_reported
2025-Wk03-15,Afar,RPT_TIMELY,Surveillance reports submitted on time (timeliness),93.26923076923076,100
2025-Wk03-15,Afar,RPT_COMPLETE,Surveillance reports submitted completely (completeness),95.57692307692308,100
2025-Wk03-15,Afar,CB_ELIM,Case-based reporting: elimination/eradication diseases,NA,100
2025-Wk03-15,Afar,CB_EVENTS,Case-based reporting: selected events/conditions,45.45454545454545,100
2025-Wk03-15,Afar,NOTIFY_24H,Suspected outbreaks notified within 24 hours,100,100
2025-Wk03-15,Afar,NOTIFY_30M,Immediately reportable events notified within 30 minutes,0,100
2025-Wk03-15,Afar,LINEGRAPH,Current line graph available for priority diseases,0,100
2025-Wk03-15,Afar,OBR_ANALYZED,Outbreak reports with analyzed case-based data,5,100
2025-Wk03-15,Afar,LAB_7D,Outbreaks with laboratory results within 7 days,0,100
2025-Wk03-15,Afar,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk03-15,Afar,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,5,100
2025-Wk03-15,Afar,RISK_MAP,Districts conducting risk & resource mapping,5,100
2025-Wk03-15,Afar,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk03-15,Afar,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk03-15,Afar,PHEM_OFFICER,Health facilities with PHEM officer,0,100
2025-Wk03-15,Afar,DHIS2_RPT,Districts reporting weekly via DHIS2,4.964539007092198,100
2025-Wk03-15,Afar,COORD_PLATFORM,Districts with functional coordination platform / RRT,0.4728132387706856,100
2025-Wk16-27,Afar,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,100
2025-Wk16-27,Afar,EBS_DETECT,Outbreaks detected through event-based surveillance,50,100
2025-Wk16-27,Afar,DETECT_7D,Outbreaks detected within 7 days,100,100
2025-Wk16-27,Afar,RPT_TIMELY,Surveillance reports submitted on time (timeliness),87.88461538461539,100
2025-Wk16-27,Afar,RPT_COMPLETE,Surveillance reports submitted completely (completeness),96.25246548323472,100
2025-Wk16-27,Afar,CB_ELIM,Case-based reporting: elimination/eradication diseases,92.10526315789474,100
2025-Wk16-27,Afar,CB_EVENTS,Case-based reporting: selected events/conditions,26.923076923076923,100
